Duma i uprzedzenie,Jane Austen,powieść romantyczna,1813
Władca Pierścieni,John Ronald Reuel Tolkien,literatura fantasy,1954
Jane Eyre,Charlotte Bronte,powieść romantyczna,1847
Zabić drozda,Harper Lee,powieść obyczajowa,1960
Wichrowe Wzgórza,Emily Bronte,fikcja gotycka,1847
Rok 1984,George Orwell,Powieść dystopijna,1949
Wielkie nadzieje,Charles Dickens,fikcja autobiograficzna,1861
Małe kobietki,Louisa May Alcott,powieść rodzinna,1868
Tessa D’Urberville,Thomas Hardy,powieść społeczna,1891
Paragraf 22,Joseph Heller,powieść wojenna,1961
Rebeka,Daphne Du Maurier,powieść kryminalna,1938
Hobbit,John Ronald Reuel Tolkien,literatura fantasy,1937
Birdsong,Sebastian Faulks,powieść wojenna,1993
Buszujący w zbożu,Jerome David Salinger,literatura młodzieżowa,1951
Żona podróżnika w czasie,Audrey Niffenegger,fantastyka naukowa,2003
Miasteczko Middlemarch,George Eliot,fikcja historyczna,1871
Przeminęło z wiatrem,Margaret Mitchell,fikcja historyczna,1936
Wielki Gatsby,Francis Scott Fitzgerald,literatura piękna,1925
Samotnia,Charles Dickens,fikcja literacka,1852
Wojna i pokój,Lew Tołstoj,powieść historyczna,1867
Zbrodnia i kara,Fiodor Dostojewski,powieść kryminalna,1866
Grona gniewu,John Steinbeck,fikcja historyczna,1939
Alicja w Krainie Czarów,Lewis Carroll, literatura fantasy,1865
O czym szumią wierzby,Kenneth Grahame,literatura dziecięca,1908
Anna Karenina,Lew Tołstoj,powieść psychologiczna,1877
David Copperfield,Charles Dickens,powieść obyczajowa,1850
Emma,Jane Austen,powieść romantyczno-komediowa,1815
Perswazje,Jane Austen,powieść obyczajowa,1817
Lew, Czarownica i Stara Szafa,CS Lewis,literatura fantasy,1950
Chłopiec z latawcem,Khaled Hosseini,powieściodramat,2003
Mandolina kapitana Corellego,Louis De Bernieres, powieść romantyczno-historyczna,1994
Wyznania Gejszy,Arthur Golden,fikcja historyczna,1997
Kubuś Puchatek,Alan Alexander Milne,literatura dziecięca,1925
Folwark zwierzęcy,George Orwell, powieść dystopijna,1945
Kod Da Vinci,Dan Brown,powieść kryminalna,2003
Sto lat samotności,Gabriel Garcia Marquez,saga rodzinna,1967
Modlitwa za Owena,John Irving,proza psychologiczna,1989
Kobieta w bieli,Wilkie Collins,powieść kryminalna,1860
Ania z Zielonego Wzgórza,Lucy Maud Montgomery,literatura dziecięca,1908
Z dala od zgiełku,Thomas Hardy,literatura piękna,1874
Opowieść podręcznej,Margaret Atwood,fantastyka naukowa,1985
Władca much,William Golding,powieść psychologiczna,1954
Pokuta,Ian McEwan,powieść społeczna,2001
Życie Pi,Yann Martel,literatura przygodowa,2001
Diuna,Frank Herbert,literatura fantasy,1965
Cold Comfort Farm,Stella Gibbons,proza humorystyczna,1932
Rozważna i romantyczna,Jane Austen,powieść romantyczna,1811
Miłość w czasach zarazy,Gabriel Garcia Marquez,powieść romantyczna,1985
Lolita,Vladimir Nabokov,literatura erotyczna,1955
Hrabia Monte Christo,Alexandre Dumas,powieść historyczna,1846
Drakula,Bram Stoker,fikcja gotycka,1987
Tajemniczy ogród,Frances Hodgson Burnett,literatura dziecięca,1911
Ulisses,James Joyce,literatura obyczajowa,1920
Atlas chmur,David Mitchell,literatura fantasy,2004
Kolor purpury,Alice Walker,proza rodzinna,1982
Pani Bovary,Gustave Flaubert,proza rodzinna,1856
Pajęczyna Szarloty,Elwyn Brooks White,literatura dziecięca,1952
Jądro ciemności,Joseph Conrad,fikcja literacka,1899
Mały Książę,Antoine De Saint-Exupery,literatura dziecięca,1943
Trzej muszkieterowie,Alexandre Dumas,powieść historyczna,1844
Hamlet,William Shakespeare,dramat,1603
Charlie i fabryka czekolady,Roald Dahl,literatura fantasy,1964
Nędznicy,Victor Hugo,dramat,1862
Krew elfów,Andrzej Sapkowski,literatura fantasy,1994
Czas pogardy,Andrzej Sapkowski,literatura fantasy,1995
Chrzest ognia,Andrzej Sapkowski,literatura fantasy,1996
Wieża jaskółki,Andrzej Sapkowski,literatura fantasy,1997
Pani Jeziora,Andrzej Sapkowski,literatura fantasy,1999
